Epoch 1/20
Found 30 images belonging to 1 classes.
Found 30 images belonging to 1 classes.
2019-08-04 08:27:47.913689: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2019-08-04 08:27:48.115552: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 1070 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 8.00GiB freeMemory: 6.61GiB
2019-08-04 08:27:48.115844: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2019-08-04 08:27:48.477559: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-08-04 08:27:48.477715: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2019-08-04 08:27:48.477806: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2019-08-04 08:27:48.478011: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 6366 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1070 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
2019-08-04 08:27:54.736672: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.32GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2019-08-04 08:27:55.509972: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.38GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.

 57/300 [====>.........................] - ETA: 2:36 - loss: 0.0442 - acc: 0.9933
 58/300 [====>.........................] - ETA: 2:35 - loss: 0.0442 - acc: 0.9933
 59/300 [====>.........................] - ETA: 2:34 - loss: 0.0437 - acc: 0.9933
 60/300 [=====>........................] - ETA: 2:33 - loss: 0.0436 - acc: 0.9933
 61/300 [=====>........................] - ETA: 2:31 - loss: 0.0434 - acc: 0.9933
 62/300 [=====>........................] - ETA: 2:30 - loss: 0.0431 - acc: 0.9933
 63/300 [=====>........................] - ETA: 2:29 - loss: 0.0429 - acc: 0.9933
 64/300 [=====>........................] - ETA: 2:28 - loss: 0.0428 - acc: 0.9933
 65/300 [=====>........................] - ETA: 2:27 - loss: 0.0424 - acc: 0.9934
 66/300 [=====>........................] - ETA: 2:25 - loss: 0.0423 - acc: 0.9933
 67/300 [=====>........................] - ETA: 2:24 - loss: 0.0421 - acc: 0.9933
 68/300 [=====>........................] - ETA: 2:23 - loss: 0.0419 - acc: 0.9933
 69/300 [=====>........................] - ETA: 2:22 - loss: 0.0418 - acc: 0.9933
 70/300 [======>.......................] - ETA: 2:21 - loss: 0.0415 - acc: 0.9933
 71/300 [======>.......................] - ETA: 2:20 - loss: 0.0412 - acc: 0.9933
 72/300 [======>.......................] - ETA: 2:19 - loss: 0.0409 - acc: 0.9933
 73/300 [======>.......................] - ETA: 2:18 - loss: 0.0409 - acc: 0.9933
 74/300 [======>.......................] - ETA: 2:17 - loss: 0.0406 - acc: 0.9933
 75/300 [======>.......................] - ETA: 2:16 - loss: 0.0403 - acc: 0.9933
 76/300 [======>.......................] - ETA: 2:15 - loss: 0.0401 - acc: 0.9933
 77/300 [======>.......................] - ETA: 2:14 - loss: 0.0398 - acc: 0.9933
 78/300 [======>.......................] - ETA: 2:13 - loss: 0.0396 - acc: 0.9933
 79/300 [======>.......................] - ETA: 2:12 - loss: 0.0393 - acc: 0.9933
 80/300 [=======>......................] - ETA: 2:11 - loss: 0.0391 - acc: 0.9933
 81/300 [=======>......................] - ETA: 2:11 - loss: 0.0389 - acc: 0.9933
 82/300 [=======>......................] - ETA: 2:10 - loss: 0.0386 - acc: 0.9933
 83/300 [=======>......................] - ETA: 2:09 - loss: 0.0383 - acc: 0.9933
 84/300 [=======>......................] - ETA: 2:08 - loss: 0.0380 - acc: 0.9933
 85/300 [=======>......................] - ETA: 2:07 - loss: 0.0379 - acc: 0.9933
 86/300 [=======>......................] - ETA: 2:06 - loss: 0.0375 - acc: 0.9933
 87/300 [=======>......................] - ETA: 2:05 - loss: 0.0373 - acc: 0.9933
 88/300 [=======>......................] - ETA: 2:04 - loss: 0.0371 - acc: 0.9933
 89/300 [=======>......................] - ETA: 2:04 - loss: 0.0368 - acc: 0.9933
 90/300 [========>.....................] - ETA: 2:03 - loss: 0.0366 - acc: 0.9933
 91/300 [========>.....................] - ETA: 2:02 - loss: 0.0365 - acc: 0.9933
 92/300 [========>.....................] - ETA: 2:01 - loss: 0.0363 - acc: 0.9933
